CUST_ID,BALANCE_FREQUENCY,PURCHASES,PAYMENTS,CREDIT_LIMIT,CASH_ADVANCE
C10111,1,941.64,1097.78942,2500,0
C10112,1,0,1241.538024,8000,5439.467563
C10113,1,423.7,577.050373,2000,412.399058
C10114,1,4478.75,10857.94321,9000,7205.520805
C10115,0.818182,1354.86,858.976682,5500,0
C10116,1,0,0,4200,1008.348672
C10117,1,2812.2,1509.423237,8500,2510.352951
C10118,1,0,1277.76778,7000,3360.228794
C10119,0.818182,1508.9,1884.227778,5000,0
C10120,1,1045.57,552.432305,3000,0
C10121,0.636364,2309.78,1206.81188,6500,0
C10122,1,0,687.691735,1800,576.206382
C10123,0.272727,495,1969.845566,7000,0
C10124,1,0,932.418855,3000,509.023801
C10125,1,6724.26,1888.756861,17000,1686.599777
C10126,1,1174.39,0,9000,0
C10127,1,5580.85,3564.977774,8500,0
C10128,1,0,1065.426905,3200,998.84867
C10130,1,0,3066.614272,19000,4614.427403
C10131,1,12462.44,11628.71557,2800,0
C10132,0.75,0,385.853874,1200,272.713302
C10133,1,1957.3,1004.35474,5000,0
C10134,1,150.64,2606.059389,17000,8362.154254
C10135,0.090909,0,0,13000,2799.714934
C10136,0.272727,907,0,5000,273.558033
C10137,1,1271.12,1906.032044,5000,0
C10138,0.636364,250.6,319.762903,3000,0
C10139,1,796.33,10664.65866,13000,13748.47131
C10140,1,440,554.116542,4000,0
C10141,1,1330.62,1020.783647,2000,0
C10142,1,5491.79,1015.311953,17000,0
C10143,1,897.86,972.358048,1200,586.268966
C10144,1,22009.92,23018.57583,18000,0
C10145,1,720.6,1061.292471,2500,723.308724
C10146,1,197.06,492.200419,1000,0
C10147,0.818182,0,1566.806897,7500,1307.102516
C10148,1,0,0,7000,4002.353384
C10149,1,2084.48,3219.621433,21500,0
C10150,1,5779.36,4416.41268,6500,0
C10151,1,1025,698.854095,7500,0
C10152,0.909091,689.7,746.691026,10000,0
C10153,1,28.65,1235.630069,9000,384.26178
C10154,0.909091,944.96,1955.198953,1500,0
C10155,1,1039.2,1855.235407,13500,103.102091
C10156,1,4059.93,3685.61062,7000,555.469352
C10157,1,4075.37,2254.26002,6500,0
C10158,1,870.24,835.839952,8000,0
C10159,1,9792.23,11717.30794,20000,2444.445738
C10160,0.636364,2463.12,2573.722764,4000,0
C10161,0.363636,1859.34,3104.275623,20000,0
C10162,1,3488.49,0,7900,3303.1523
C10163,1,0,363.474455,1800,66.275851
C10164,1,7283.31,14373.3929,11000,0
C10165,1,295,439.407082,1200,93.579809
C10166,1,0,778.827993,3000,429.691164
C10167,1,0,1009.185035,8500,988.356213
C10168,1,648.22,1110.886425,1200,0
C10169,1,557.19,422.711848,4000,0
C10170,1,469.98,367.109312,1000,0
C10171,1,0,1346.365584,6500,369.950794
C10172,0.363636,131.64,2916.071564,8000,0
C10173,1,5078.14,4756.654374,15000,1424.442602
C10174,1,924.6,1202.711782,1000,0
C10175,1,1975.4,1795.012223,4000,0
C10176,0.666667,0,3621.266477,4000,3671.777443
C10177,1,10221.35,10693.49585,10500,1620.685551
C10178,0.363636,300,291.948834,12500,0
C10179,0.857143,0,1423.788603,3000,3905.326256
C10180,1,5715,4639.513745,14000,1626.351366
C10181,1,0,470.565984,1800,205.737165
C10182,1,766.61,0,2300,1017.120578
C10183,1,0,2431.578544,3000,2040.433925
C10184,1,3535.8,2814.231227,20000,0
C10185,0.454545,256.11,831.375322,5300,0
C10186,1,2697.48,1686.196344,2500,0
C10187,0,23,0,5000,0
C10188,1,117,17301.83238,4500,17661.49486
C10189,0.090909,196.81,0,12000,0
C10190,1,653.73,441.588141,10000,0
C10191,0.818182,2009.05,2612.760497,1200,0
C10192,1,147.78,1186.062765,6000,1657.090283
C10193,1,516.54,579.749308,900,0
C10194,1,969.56,0,2400,446.233197
C10196,1,311.45,277.522439,1500,955.959749
C10197,0.727273,280.4,254.392984,6150,0
C10198,1,66.14,0,6000,0
C10199,0.363636,79.2,1647.880773,4000,1631.576375
C10200,1,1453.32,1382.269127,16500,0
C10201,1,756.54,1110.870941,4000,0
C10202,1,3507.35,1412.597253,11500,0
C10203,0.818182,3163.69,2422.911622,8000,0
C10204,0.909091,1343.19,1043.55929,15000,0
C10205,1,873,541.722532,8000,0
C10206,1,47.55,2976.579866,6000,2039.52804
C10207,0.454545,370,1212.054219,23000,0
C10208,0.909091,405.75,1249.835142,2000,1044.651618
C10209,0.909091,261.64,376.758504,4000,0
C10211,1,1989.28,4720.900413,14000,893.757903
C10212,1,10848.5,9423.715495,7500,0
C10213,0.090909,43.39,130.107234,4000,0
C10214,1,645.32,2591.391006,1800,1665.331678
C10215,1,987.1,1941.541158,10500,5468.620604
C10216,1,1464.14,1658.563509,11500,3947.86784
C10217,0.454545,927,1260.16384,5000,0
C10218,1,393.62,1919.630466,10000,5933.467329
C10219,1,965.5,1034.932404,7500,0
C10220,0.818182,0,4543.63481,7500,102.275984
C10221,1,336.41,947.696134,6000,0
C10222,0.727273,540,548.967281,4000,0
C10223,0.181818,36,0,7500,0
C10224,1,878.52,542.836917,1500,197.648111
C10226,0.545455,144.26,134.710832,11500,0
C10227,1,493.85,2795.059574,2000,1738.33378
C10228,1,4490.69,5763.666926,8500,188.783221
C10229,1,11188.62,11994.41815,10000,0
C10230,1,1829.2,971.234118,7000,0
C10231,0.857143,75.99,69.163384,2700,0
C10232,1,1824.16,1508.016452,14500,0
C10233,1,9325.22,11036.72668,8500,0
C10234,1,100,125.769169,4000,0
C10235,1,1431.89,2384.542045,4000,0
C10236,1,2260.41,2187.930651,8500,0
C10237,0.333333,0,1068.581252,1200,466.643895
C10238,0.909091,10410.49,9695.650901,19500,0
C10239,1,990.7,505.317328,1400,0
C10240,1,3034.92,2928.909865,2900,0
C10241,1,1038.81,1215.454299,5700,1092.634704
C10242,1,45.65,542.7463,2500,0
C10243,1,2641.98,1839.928884,3000,263.884743
C10244,1,1189.52,0,8000,0
C10245,1,300,1975.974183,12000,2800.728343
C10246,1,126.69,2515.435738,10500,154.341344
C10247,0.545455,247.09,409.594792,5500,182.357669
C10248,1,301.1,586.974046,1950,0
C10249,0.818182,1112.2,0,7200,7616.064965
C10250,0.636364,2410.07,3773.727455,4000,0
C10251,1,5350.19,5825.602115,8000,0
C10252,1,630.03,426.092563,5500,0
C10253,1,3197.24,3574.480603,3000,0
C10254,0.363636,133,130.61272,3000,0
C10255,1,1646.16,1055.835407,12000,0
C10256,1,79.66,75.896288,1500,0
C10257,1,319.92,10993.89211,12000,13439.5704
C10258,1,3677.52,2657.856602,12500,0
C10259,1,1041.63,3033.665478,4000,4003.968939
C10260,1,675.96,1851.602411,1000,0
C10261,1,193.14,220.46377,2000,0
C10262,1,1703.23,1449.039414,11500,0
C10263,1,0,1350.318606,6000,468.958688
C10265,0.363636,234.16,479.910499,1500,0
C10266,0.818182,29.68,76.943584,10000,0
C10267,1,1322.67,802.38543,11000,774.260436
C10269,1,1607.88,1583.411686,13500,0
C10270,1,0,2166.981163,1800,1716.941235
C10271,0.818182,3183,3823.346244,9000,0
C10272,1,3014.23,1350.370286,4500,103.610197
C10273,1,7323.38,3792.095079,3000,191.331735
C10274,1,8533.54,4758.209146,10000,7540.30735
C10275,0.727273,408.93,2161.153147,9000,0
C10276,1,3999.92,5624.074339,7500,0
C10277,1,2980.46,1116.967993,6000,0
C10278,1,560.73,717.798364,7500,0
C10279,1,569.9,634.000055,9500,0
C10280,1,6186.77,11198.92613,10950,1898.690655
C10281,1,4550.81,4317.191232,8500,438.469118
C10282,1,150.8,990.524408,7500,1659.19931
C10283,1,1385.1,1280.473571,14000,0
C10284,1,32539.78,26652.34432,11500,0
C10285,1,410.24,12005.3074,16500,15452.97758
C10286,0.181818,47.95,294.507498,1500,0
C10287,1,126.57,483.557464,2100,181.139378
C10288,0.272727,380.89,0,5700,0
C10289,1,414,5863.94034,10500,0
C10290,1,2010,859.829946,8500,1189.292764
C10291,1,4693.15,4786.64868,13500,0
C10292,1,498.96,829.505486,1000,72.259355
C10293,1,224.2,568.336995,9500,0
C10294,1,2856.57,2914.419813,2500,0
C10295,0.818182,0,2755.877257,3000,682.156051
C10296,1,0,6010.525656,7000,9270.408108
C10297,1,0,871.713321,3000,567.233798
C10298,1,409.63,580.13865,5000,1876.241162
C10299,0.636364,843.34,1024.267592,6500,0
C10300,1,0,1362.966798,6000,512.792701
C10301,1,2236.49,1986.838064,10000,0
C10302,1,464.51,1515.594331,6000,2516.727082
C10303,1,1779,856.05828,5000,0
C10304,1,0,1057.678259,4000,348.834361
C10305,1,456.36,370.996177,6000,0
C10306,0.818182,5758.71,7943.57021,2900,0
C10307,1,245.98,2261.523522,6000,2792.67597
C10308,1,0,1786.142816,12000,3298.958165
C10309,1,733.9,1620.193277,3000,0
C10310,1,1641.07,1583.918811,500,380.972341
C10311,1,674.73,1139.058595,4000,1684.957411
C10312,1,2702.47,7596.768364,11000,0
C10313,1,0,8019.800702,8000,1817.569093
C10314,0.727273,1579.15,451.600059,2700,0
C10315,1,0,1933.413908,11000,8603.045938
C10316,1,2161.38,2059.879468,4500,0
C10317,1,1482.19,1289.570234,6000,0
C10318,1,1446.05,1364.121036,3500,0
C10319,0.909091,0,312.433361,4500,1606.322681
C10320,1,397.06,0,2100,0
C10321,1,498.17,611.606459,15000,0
C10322,1,2009.12,2715.972095,2500,1763.794583
C10323,1,5359.02,0,6000,0
C10324,1,0,719.974244,1000,402.974164
C10325,1,0,1151.721386,5500,3394.509419
C10326,1,0,117.542764,1000,842.456926
C10327,0.857143,0,863.62306,7000,6481.300951
C10328,1,126.2,314.302968,1950,0
C10329,1,225,325.578502,1500,0
C10330,0.090909,734.97,1159.135064,6000,0
C10331,1,14.95,1289.284068,5700,2173.356068
C10332,1,874.98,2055.100879,12500,4653.693195
C10333,1,0,1493.089193,7500,2443.262416
C10334,1,445.2,1042.991769,8000,0
C10335,1,0,476.162309,4500,3264.573342
C10336,1,689.34,453.842413,1500,0
C10337,0.727273,2006.87,19714.09728,21000,0
C10338,1,678,1926.31853,2500,927.25167
C10339,1,0.05,1084.281127,1000,1700.634586
C10340,1,3085.69,2690.525687,8500,0
C10341,1,0,642.777061,3000,142.141325
C10342,0.909091,1080,1077.058667,6000,0
C10343,1,2721.16,4952.900653,6500,0
C10344,1,3095.96,4003.782858,14000,0
C10345,0.909091,0,2147.890523,2300,1600.758078
C10346,1,71.07,9226.751112,9500,3595.158425
C10347,0.181818,65,718.794328,1200,0
C10348,1,4786.61,3805.669705,9000,0
C10349,0.454545,174.42,347.08638,2500,0
C10350,1,242.88,6084.115091,13500,0
C10351,1,216.94,222.02316,3200,1011.997944
C10352,0.454545,2246.3,32048.6122,6000,14048.07181
C10353,1,361.73,535.606816,1500,198.686744
C10354,0.6,330,345.330572,1800,0
C10355,1,2854.11,2437.332725,9500,0
C10356,0.454545,390,302.454171,2000,0
C10357,1,422.18,2961.632199,5500,0
C10358,1,1005.52,1866.265366,3000,0
C10359,1,2132.93,8251.146946,11000,5340.016172
C10360,0.909091,284.72,344.161416,5000,0
C10361,1,0,1288.287239,10500,455.581546
C10362,1,3244.16,5674.185857,11500,0
C10364,1,2490.17,3957.017497,9500,5309.949725
C10365,0.090909,1098.31,0,4800,0
C10366,0.181818,636.15,918.414211,8500,0
C10367,1,3018.93,3909.837604,5000,0
C10368,1,1222.97,1142.077891,19500,0
C10369,1,110.18,1716.998424,6000,6551.99521
C10370,0.636364,0,2298.902197,3000,1192.015721
C10371,1,0,548.589391,1800,36.481832
C10372,1,983.77,389.411161,2400,0
C10373,1,0,866.865018,1500,474.429843
C10374,0.75,423.24,296.01675,11000,0
C10375,1,6079.5,18552.39489,7300,10227.22894
C10376,1,439.38,237.996469,1200,727.658311
C10377,1,1207.25,1282.705869,1200,0
C10378,1,259.13,2680.635587,2300,0
C10379,1,1627.69,2507.704747,5500,0
C10380,1,0,2845.010795,8000,3423.085934
C10381,1,0,10973.14532,8000,3768.696678
C10382,1,5749.96,5711.540654,12000,0
C10383,1,1490.94,2116.662516,9000,2813.063846
C10384,0.181818,0,0,3000,2333.150712
C10385,1,5068.88,3904.568067,4500,0
C10386,1,1067.28,2021.775795,2000,0
C10387,0.545455,64.12,176.600545,7000,0
C10388,1,6855.59,4868.088671,18500,0
C10389,0.636364,1631,2550.799492,2500,0
C10390,0.909091,180.91,802.858576,1400,0
C10391,1,0,353.582373,1600,172.931118
C10392,1,136.88,3519.008859,14000,515.147607
C10393,1,0,1177.661577,2000,187.572355
C10395,0.727273,343.21,930.328071,1500,1609.900552
C10396,0.272727,16.5,57.595083,6000,0
C10397,1,5708.18,5589.952268,4000,0
C10398,0.3,42.3,361.853722,6000,3967.709973
C10399,1,46.67,338.413344,1800,0
C10400,1,0,677.144841,9000,4909.937494
C10402,1,699.12,697.977603,2500,0
C10403,1,245.39,328.796655,4000,0
C10404,1,98,192.369983,4000,0
C10405,1,857.36,3239.629759,6550,0
C10406,0.818182,2747.12,4730.374245,5000,246.046033
C10407,1,11147.33,7932.77402,11000,2728.576925
C10408,1,600,249.066308,1000,0
C10409,1,0,541.308981,10000,2368.872642
C10410,1,255.12,1703.332126,8500,0
C10411,1,1221.53,1421.035206,1200,1078.788118
C10412,1,0,1336.016317,13000,1974.503664
C10413,1,780.64,663.553502,3500,1227.555485
C10414,1,1532.1,1834.368953,5000,0
C10415,1,778.33,1411.329676,2000,0
C10416,0.875,964.06,565.71913,6000,5140.287889
C10417,1,1667.13,1669.260634,13000,0
C10419,1,0,0,8000,4087.167822
C10420,1,1088.83,6862.520735,9000,0
C10421,0.363636,648.64,0,2500,0
C10422,1,0,444.783009,2100,120.178123
C10423,1,0,4226.578611,4500,2171.139178
C10424,0.363636,1897.92,5563.437084,13500,0
C10425,1,0,802.038512,6200,76.260896
C10426,1,1263.29,1356.425369,9500,0
C10427,0.125,200,0,1200,0
C10428,1,340,2162.141639,6000,3510.115735
C10429,1,1277.58,552.734714,7000,0
C10430,1,4117.24,4561.589382,6000,0
C10431,1,226.23,1885.239981,15000,0
C10432,1,3970.8,3879.252512,7500,0
C10433,0.545455,1346.9,1369.437449,8000,0
C10434,1,1050.83,4673.520993,5000,4083.515108
C10435,1,1364.99,1849.10398,2000,284.754535
C10436,1,0,331.670616,1500,114.918715
C10437,1,0,0,4500,3017.170336
C10438,1,7553.48,5377.338091,13500,0
C10439,0.909091,570.16,6124.31525,9000,2817.05225
C10441,1,566.28,1298.823687,4000,3888.756412
C10442,1,0,422.878799,8000,2819.60583
C10443,1,0,357.836436,1800,39.646806
C10444,1,137.34,1874.954894,10000,4815.112874
C10445,1,0,2052.533488,10000,5105.254316
C10446,1,0,6918.272206,9000,3435.737817
C10447,1,332.82,5810.994681,5000,6649.712062
C10448,0.636364,1377.72,182.177646,2500,0
C10449,1,0,2996.735376,6000,1886.470361
C10450,0.818182,0,2008.971745,1500,1462.32354
C10451,1,360.7,5147.693822,8000,6517.541812
C10452,1,222.64,1017.241855,4500,249.298208
C10453,1,1634.74,1094.345336,13000,94.837161
C10454,1,0,591.853821,1200,340.249539
C10455,1,759.15,994.500495,6000,2493.111705
C10456,0.363636,243.36,546.417272,1800,0
C10457,0.9,0,7566.577763,10500,10713.8746
C10458,0.818182,0,1370.235544,2500,2820.528417
C10459,1,519,621.255763,4500,0
C10460,1,3055.87,2198.293667,4500,0
C10461,1,2470.4,3340.041274,9500,1652.878895
C10462,1,1671.6,1021.907217,1800,0
C10463,0.454545,903.36,538.841222,15000,0
C10466,1,0,274.653536,1200,193.738137
C10467,0.545455,229.5,423.206638,3150,0
C10468,1,1476.19,1493.919986,2500,0
C10469,1,2506.89,1230.219396,8500,0
C10470,1,2570,3259.958288,4500,124.563782
C10471,1,238.34,1194.510762,15000,4809.11955
C10472,0.875,1342.36,288.883026,4000,1738.109478
C10473,0.818182,786.32,881.284581,7500,0
C10474,0.909091,1450.68,1583.421932,6000,0
C10475,1,1239.46,401.217047,1500,0
C10476,1,96.75,452.225512,1800,19.141227
C10477,1,4106.15,9678.173119,12000,734.816479
C10478,1,2022.38,939.306791,6000,0
C10480,1,3654.08,3301.334578,2500,0
C10481,1,883.73,632.062443,3000,0
C10482,1,795.54,1804.065076,1700,418.482499
C10483,1,0,541.101815,1200,278.591282
C10484,1,0,1088.755323,7500,2806.959645
C10485,1,1382.57,1580.0815,2400,0
C10486,1,565.5,2768.795805,8500,101.137379
C10487,1,4462.86,1793.043228,11800,4599.625146
C10488,0.363636,1726.67,4804.383296,6000,0
C10489,1,217,10428.37611,9000,12377.36037
C10490,1,0,1067.405461,4000,1483.933054
C10491,1,1748.73,2497.488126,6500,0
C10492,1,0,586.426259,1800,149.36039
C10493,1,50.98,320.592941,1200,0
C10494,1,378.04,4315.936534,11300,0
C10495,1,1483.12,1357.36111,5000,1992.715742
C10497,0.727273,6407.67,3484.429075,14500,0
C10498,0.909091,0,547.23924,3500,1161.103112
C10501,1,70,566.292758,8500,0
C10502,0.545455,449.96,1023.209164,7000,0
C10503,1,3355.33,2087.871747,6500,0
C10504,0.545455,0,14481.46544,10000,14371.78789
C10505,0.727273,0,142.286073,3000,818.124484
C10506,1,3220.09,826.764555,15000,0
C10507,1,6558.55,5872.707939,7000,0
C10508,1,0,1006.358943,4000,1328.643945
C10509,1,4305.05,4030.061017,9500,0
C10510,1,262.1,1629.239381,13000,3053.777459
C10511,0.727273,1626.83,1924.101393,13000,0
C10512,1,3522.57,1165.621928,6000,2485.845274
C10513,1,0,2662.365409,18000,2438.356719
C10514,1,8194.05,7069.804042,6000,0
C10515,1,1604.8,191.366024,4500,1302.014616
C10516,1,709.9,826.576112,7000,779.264494
C10517,1,174,3251.190662,14000,3269.418821
C10518,1,0,552.713988,4500,554.11523
C10519,1,0,1076.722225,1700,655.037683
C10520,0.636364,913,1718.487894,7500,0
C10521,1,606.62,1043.617154,2750,0
C10522,1,1447.01,642.723723,2400,49.912813
C10523,1,41050.4,36066.75068,17000,0
C10524,1,727.27,822.928249,20000,0
C10525,1,1869.88,999.235386,4000,0
C10526,0.818182,182.94,1391.649702,5000,0
C10527,0.727273,379.28,641.943628,2500,0
C10528,1,874.94,716.241063,1500,0
C10529,1,26402.39,24529.27662,16500,0
C10530,1,0,677.649435,3000,281.044645
C10532,1,1752.15,1489.597574,10300,1072.351863
C10533,0.909091,400.41,353.570259,4500,0
C10534,1,13771.63,16826.42443,14500,0
C10535,1,1172.68,4820.842925,9500,10372.8492
C10536,1,1653.6,3410.253378,5000,1442.395734
C10537,1,4238.79,3528.728592,10500,0
C10538,1,907.37,908.907467,10000,0
C10539,1,0,304.984801,3000,2614.626296
C10540,0.181818,0,0,12500,6523.780195
C10542,1,569.34,758.421856,16500,0
C10543,1,305.78,518.757481,1500,0
C10544,1,529.3,2051.14647,19000,4100.891579
C10545,1,2001.19,3058.768463,4500,0
C10546,0.454545,0,832.894753,3000,2955.030338
C10547,1,1020.47,1099.15757,6500,0
C10548,1,4754.32,1924.73689,9500,0
C10549,1,0,308.089987,1200,97.200877
C10550,1,331.95,4453.691497,8000,10384.82416
C10551,0.818182,1490,573.307364,12500,8824.695802
C10552,1,558.28,601.746596,8000,0
C10553,1,1477.44,559.095981,1500,451.968387
C10554,0.909091,1051.1,1301.155857,3000,0
C10555,1,2242.26,2073.374513,2850,228.465161
C10556,1,179.24,217.546584,4000,0
C10557,1,972.65,807.047622,5500,1390.367155
C10558,1,4620.34,6476.333335,7500,0
C10559,0.181818,1023.8,5872.895164,20000,0
C10560,1,6344.3,2890.901993,12000,0
C10561,1,1549.61,1727.425472,17500,3269.100834
C10562,0.454545,734.11,1537.307484,5000,0
C10563,1,2274.21,5174.255034,5000,2854.551358
C10564,1,1635.69,1442.488419,3000,486.813976
C10565,0.272727,627.03,1513.704151,6000,0
C10566,1,55.5,3432.757202,3000,5406.459348
C10567,0.833333,277,814.605178,8500,0
C10568,0.909091,7479.95,7521.226078,15000,0
C10569,1,3937.59,1248.498168,9500,0
C10570,1,6300.4,4924.941312,16500,0
C10571,1,1856.64,1591.559543,1800,0
C10572,0.8,4924.41,3430.597877,10500,0
C10573,0.833333,1308.11,236.764555,1500,234.602843
C10574,1,49039.57,46930.59824,22500,558.166886
C10575,1,4604.72,4201.889848,9000,1854.533843
C10576,1,227.8,6710.905443,9500,5583.937965
C10577,1,2327.49,2322.412643,6000,1873.271885
C10578,0.818182,1199,11634.38713,6750,8552.910316
C10579,1,1174.76,1280.294998,4500,0
C10580,1,0,1084.059239,4000,2546.891416
C10581,1,469,2676.467444,7000,8005.22508
C10582,1,0,2060.020446,6000,1239.217984
C10583,1,133.39,168.425788,2500,219.143859
C10584,1,10700.63,9853.313787,6000,0
C10585,1,0,1328.855136,1500,1074.741949
C10586,1,49.1,59.924534,1000,0
C10587,1,11313.77,10718.04224,6000,0
C10588,1,0,432.048813,1200,282.895246
C10589,1,3525.37,14083.96809,15000,0
C10590,0.909091,258.74,502.486404,12000,0
C10591,1,2448.6,227.514473,1700,0
C10592,0.727273,293.99,287.796655,12500,0
C10593,1,709,2447.227264,10500,771.711794
C10594,1,1628.07,654.505745,5000,0
C10595,1,0,394.285767,3150,3216.192328
C10596,1,0,809.880619,7000,2224.68646
C10597,0.090909,165,0,15000,0
C10598,1,11681.64,8145.713972,10500,0
C10599,0.727273,98.97,3594.989864,2500,0
C10600,1,0,1984.351035,7500,721.214369
C10601,1,1142.15,2079.521171,9000,2652.115823
C10602,1,1494.5,2031.589282,8500,0
C10603,0.909091,646.24,540.021578,10000,0
C10604,1,0,3009.926784,3500,2052.835555
C10605,1,3608.88,2419.651857,15000,0
C10606,1,0,4539.526102,7500,3118.050456
C10607,1,0,985.516901,5000,2846.034435
C10608,1,12465.21,9290.702248,13000,0
C10609,1,7823.74,11123.40918,19000,2621.049473
C10610,0.454545,24.64,45.640106,1800,0
C10611,1,27957.68,27255.00752,9000,0
C10612,0.545455,372,662.401178,4000,0
C10613,1,1841.62,7780.322889,7500,4004.273974
C10615,1,1678.07,682.930065,6500,0
C10616,1,11674.64,10377.3612,16000,0
C10617,1,2094.38,576.699993,4500,0
C10618,0.909091,0,3418.06811,3000,2970.288928
C10619,1,411.38,1403.266638,2500,99.078081
C10620,0.545455,99.19,209.014647,4000,0
C10621,0.363636,525,3747.367504,2500,2003.827851
C10622,1,1956.06,1553.147417,11500,0
C10623,1,1750.51,2103.253278,3500,239.188373
C10624,1,18.41,1407.291593,1000,0
C10625,1,386.12,4441.185925,4000,3715.643596
C10626,0.909091,0,553.00439,2100,199.214973
C10627,1,0,1498.338478,14500,11549.11174
C10628,1,625.46,721.081023,7500,0
C10629,1,963.13,566.87028,7000,0
C10630,0.545455,2011.81,3144.544042,2100,0
C10631,1,99.5,1775.13958,8000,7726.511679
C10632,0.636364,1084.09,1515.629124,8000,0
C10633,1,207,1494.101923,8500,1546.727807
C10634,1,1757.47,1254.376139,5000,0
C10635,1,3837.59,17739.94594,9500,14811.68818
